UnitName,Floor,area
107AC01,Basement,113.9
107AC02,Basement,95.9
107AC03,Basement,128.3
107AC04,Basement,120.9
107A01,floor1,113.9
107A02,floor1,95.9
107A03,floor1,128.3
107A04,floor1,120.9
107A11,floor2,113.9
107A12,floor2,95.9
107A13,floor2,128.3
107A14,floor2,120.9
107A21,floor3,116.5
107A22,floor3,157
107A23,floor3,160
107A31,floor4,227.4
